aether 2.19.1-1
asdcontrol 0.23.0ee8bd5-1
base 3-2
base-devel 1-2
bash-completion 2.17.0-1
bat 0.26.1-1
bluetui 0.8.0-1
brave-bin 1:1.85.116-1
brightnessctl 0.5.1-3
btop 1.4.5-1
btrfs-progs 6.17.1-1
clang 21.1.6-1
claude-code 2.0.69-1
cups 2:2.4.16-1
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
docker 1:29.1.3-1
docker-buildx 0.30.1-1
docker-compose 5.0.0-1
dosfstools 4.2-5
dust 1.2.3-1
efibootmgr 18-3
evince 1:48.1-1
exfatprogs 1.3.1-1
expac 10-12
eza 0.23.4-1
fastfetch 2.56.0-1
fcitx5 5.1.16-1
fcitx5-gtk 5.1.4-2
fcitx5-qt 5.1.11-3
fd 10.3.0-1
ffmpegthumbnailer 2.2.4-1
firefox 146.0-1
fontconfig 2:2.17.1-1
fzf 0.67.0-1
gemini-cli 1:0.20.2-1
ghostty 1.2.3-2
git 2.52.0-2
github-cli 2.83.2-1
gnome-calculator 49.2-1
gnome-disk-utility 46.1-2
gnome-keyring 1:48.0-1
gnome-themes-extra 1:3.28-1
gpu-screen-recorder r1228.4363f8b-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.4.9-2
gum 0.17.0-1
gvfs-mtp 1.58.0-2
gvfs-nfs 1.58.0-2
gvfs-smb 1.58.0-2
hypridle 0.1.7-6
hyprland 0.52.2-2
hyprland-guiutils 0.2.0-2
hyprlock 0.9.2-7
hyprpicker 0.4.5-8
hyprsunset 0.3.3-4
imagemagick 7.1.2.11-1
impala 0.6.0-1
imv 5.0.1-1
inetutils 2.6-1
intel-ucode 20251111-1
inxi 3.3.40.1-1
iwd 3.10-1
jetbrains-toolbox 3.1.2.64642-1
jq 1.8.1-1
kdenlive 25.12.0-3
kvantum-qt5 1.1.5-1
lazydocker 0.24.2-1
lazygit 0.57.0-1
less 1:685-1
libpulse 17.0+r93+gbe2efb69b-1
libqalculate 5.8.2-1
libreoffice-fresh 25.8.3-3
librewolf-bin 1:146.0.0_2-1
libyaml 0.2.5-3
limine 10.5.0-1
limine-mkinitcpio-hook 1.27.0-1
limine-snapper-sync 1.18.1-1
linux 6.17.9.arch1-1
linux-firmware 20251125-2
linux-headers 6.17.9.arch1-1
linux-lts 6.12.61-1
linux-lts-headers 6.12.61-1
llvm 21.1.6-1
localsend 1.17.0-2
luarocks 3.12.2-1
mako 1.10.0-1
man-db 2.13.1-1
mariadb-libs 12.1.2-1
mise 2025.11.3-1
mpv 1:0.40.0-7
nautilus 49.2-1
neovim 0.11.5-1
network-manager-applet 1.36.0-1
noto-fonts 1:2025.12.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2025.12.01-1
nss-mdns 0.15.1-2
obs-studio 32.0.2-2
obsidian 1.10.6-1
ollama 0.13.3-1
omarchy-chromium 143.0.7499.109-15
omarchy-keyring 20251027-1
omarchy-nvim 2025.11.20-1
omarchy-walker 1.0.0-2
opencode 1.0.153-1
openvpn 2.6.17-1
pacman-contrib 1.13.1-1
pamixer 1.6-3
pinta 3.0.5-2
pipewire 1:1.4.9-2
pipewire-alsa 1:1.4.9-2
pipewire-jack 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
playerctl 2.4.1-5
plocate 1.1.23-1
plymouth 24.004.60-14
pmbootstrap 3.6.0-1
polkit-gnome 0.105-12
postgresql-libs 18.1-1
power-profiles-daemon 0.30-1
proton-pass-bin 1.33.0-1
proton-pass-cli-bin 1.2.0-1
proton-vpn-cli 0.1.2-1
python-gobject 3.54.5-1
python-pip 25.3-1
python-poetry-core 2.2.1-1
python-terminaltexteffects 0.14.2-1
qt5-quickcontrols2 5.15.18+kde+r5-1
qt5-wayland 5.15.18+kde+r55-1
qt6ct 0.11-3
ripgrep 15.1.0-1
rpi-imager 1.9.6-1
ruby 3.4.7-2
rust 1:1.92.0-1
satty 0.20.0-1
sddm 0.21.0-6
signal-desktop 7.82.0-1
slurp 1.5.0-1
snapper 0.13.0-2
sof-firmware 2025.05.1-1
starship 1.24.1-1
steam 1.0.0.85-1
sushi 46.0-2
swaybg 1.2.1-1
swayosd 0.2.1-2
system-config-printer 1.5.18-5
systemd-resolvconf 258.3-1
task 3.4.2-1
tldr 3.4.3-2
tobi-try 0.1.0-1
tree-sitter-cli 0.25.10-1
ttf-cascadia-mono-nerd 3.4.0-1
ttf-ia-writer 20181225-1
ttf-jetbrains-mono-nerd 3.4.0-1
typora 1.12.4-1
tzupdate 3.1.0-1
ufw 0.36.2-5
ufw-docker 250710-1
unzip 6.0-23
usage 2.6.0-1
uwsm 0.25.2-1
virt-manager 5.1.0-1
vscodium-bin 1.106.37943-1
waybar 0.14.0-5
wayfreeze 0.1.0-1
wget 1.25.0-3
whois 5.6.5-1
wireguard-tools 1.0.20250521-1
wireless-regdb 2025.10.07-1
wiremix 0.8.0-1
wireplumber 0.5.12-1
wl-clipboard 1:2.2.1-3
woff2-font-awesome 7.1.0-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-3
xdg-terminal-exec 0.14.0-1
xmlstarlet 1.6.1-6
xournalpp 1.3.0-1
yaru-icon-theme 25.10.2-1
yay 12.5.7-1
yay-debug 12.5.7-1
yazi 25.5.31-2
zoom 6.6.11-1
zoxide 0.9.8-2
zram-generator 1.2.1-1
